месяц,MAU,платящие,выручка_подписки,выручка_B2B,выручка_итого,затраты_команда,затраты_инфра,затраты_ИИ,затраты_маркетинг,затраты_контент,затраты_итого,burn,cash_накопительно,break_even_флаг
1,2000,120,94800,0,94800,1350000.0,80000,2400,144000,150000.0,1726400.0,1631600.0,18368400,0
2,3162,190,150100,0,150100,1350000.0,80000,3800,112800,150000.0,1696600.0,1546500.0,16821900,0
3,5000,300,237000,0,237000,1350000.0,80000,6000,177600,150000.0,1763600.0,1526600.0,15295300,0
4,7663,460,363400,0,363400,1350000.0,80000,9200,264000,150000.0,1853200.0,1489800.0,13805500,0
5,11745,705,556950,0,556950,1775000.0,80000,14100,404400,150000.0,2423500.0,1866550.0,11938950,0
6,18000,1080,853200,0,853200,1775000.0,80000,21600,619200,150000.0,2645800.0,1792600.0,10146350,0
7,24961,1498,1183420,45000,1228420,1975000.0,80000,29960,760800,250000.0,3095760.0,1867340.0,8279010,0
8,34614,2077,1640830,65700,1706530,1975000.0,80000,41540,1054320,250000.0,3400860.0,1694330.0,6584680,0
9,48000,2880,2275200,96150,2371350,1975000.0,80000,57600,1462080,250000.0,3824680.0,1453330.0,5131350,0
10,59189,3551,2805290,140400,2945690,1975000.0,80000,71020,1496400,250000.0,3872420.0,926730.0,4204620,0
11,72986,4379,3459410,205350,3664760,1975000.0,91619,87580,1845840,250000.0,4250039.0,585279.0,3619341,0
12,90000,5400,4266000,300000,4566000,1975000.0,114150,108000,2276160,250000.0,4723310.0,157310.0,3462031,0
13,99332,5960,4708400,343350,5051750,1975000.0,126294,119200,1968000,250000.0,4438494.0,-613256.0,4075287,1
14,109632,6578,5196620,393150,5589770,1975000.0,139744,131560,2172000,250000.0,4668304.0,-921466.0,4996753,1
15,121000,7260,5735400,450000,6185400,1975000.0,154635,145200,2397120,250000.0,4921955.0,-1263445.0,6260198,1
16,126725,7604,6007160,515100,6522260,1975000.0,163056,152080,2155200,250000.0,4695336.0,-1826924.0,8087122,1
17,132721,7963,6290770,589650,6880420,1975000.0,172010,159260,2255760,250000.0,4812030.0,-2068390.0,10155512,1
18,139000,8340,6588600,675000,7263600,1975000.0,181590,166800,2363520,250000.0,4936910.0,-2326690.0,12482202,1
19,142574,8554,6757660,708150,7465810,1975000.0,186645,171080,2258400,250000.0,4841125.0,-2624685.0,15106887,1
20,146240,8774,6931460,742950,7674410,1975000.0,191860,175480,2316960,250000.0,4909300.0,-2765110.0,17871997,1
21,150000,9000,7110000,779400,7889400,1975000.0,197235,180000,2376960,250000.0,4979195.0,-2910205.0,20782202,1
22,152621,9157,7234030,817650,8051680,1975000.0,201292,183140,2348400,250000.0,4957832.0,-3093848.0,23876050,1
23,155287,9317,7360430,857850,8218280,1975000.0,205457,186340,2389680,250000.0,5006477.0,-3211803.0,27087853,1
24,158000,9480,7489200,900000,8389200,1975000.0,209730,189600,2431680,250000.0,5056010.0,-3333190.0,30421043,1
